"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"B",310,38,"Near Entrance","B060","2018-03-09 05:00:00.0000000","At Bay Ridge Pkwy/7 Av entrance","Mitt Mutt","Unpaved Surface",5645,"B060-01","B-10",68,"McKinley Park","","McKinley Park Playground",11228,"POINT (-74.01766165228875 40.626626393067156)"
"X",201,8,"Near Entrance","X045","","","Mitt Mutt","Wrought Iron Fence",22003,"X045-ZN02","X-01",40,"St. Mary's Park","Parks","St Mary's Park Zone 2",10454,"POINT (-73.91493441835831 40.81063852636304)"
"Q",414,31,"Near Entrance","Q007","2018-03-16 04:00:00.0000000","Bay 32nd St. btw Ocean Crest and","Mitt Mutt","Unpaved Surface",7621,"","Q-14",101,"Bayswater Park","Parks","",11691,"POINT (-73.76687946768548 40.59953315225057)"
"X",211,13,"Near Entrance","X163","","mid point of Tomlinson Ave","Mitt Mutt","Chain Link Fence",21204,"","X-11",49,"Loreto Playground","Parks","",10461,"POINT (-73.85181620362233 40.84923351836857)"
"R",501,49,"Near Entrance","R109","2018-08-19 04:00:00.0000000","By sidewalk","Mitt Mutt","Wrought Iron Fence",9603,"","R-01",120,"CPL. Thompson Park","Parks","",10310,"POINT (-74.11780287019269 40.6386665969776)"
"R",501,50,"Near Entrance","R029","2018-10-18 04:00:00.0000000","near path","Mitt Mutt","Unpaved Surface",30803,"","R-01",121,"Westerleigh Park","Partner Group","",10314,"POINT (-74.13486364635034 40.62041653078314)"
"X",204,16,"Park Interior","X105","","","Mitt Mutt","Wall",13208,"","X-04",44,"Jerome Slope","Parks","",10452,"POINT (-73.92556559542098 40.83270411132442)"
"Q",409,32,"Park Perimeter","Q076","2018-04-02 04:00:00.0000000","corner of Rway and Eldert, date is est.","Mitt Mutt","Unpaved Surface",5618,"","Q-09",102,"Legion Triangle","Parks","",11421,"POINT (-73.86678749590448 40.68649246295319)"
"Q",407,19,"Park Perimeter","Q086","2018-12-06 05:00:00.0000000","Bayside Ave. right front of flagpole","Mitt Mutt","Unpaved Surface",5205,"","Q-07",109,"Flushing Fields","Parks","",11354,"POINT (-73.8165042373755 40.77158520415091)"
"X",207,14,"Near Entrance","X044","","","Mitt Mutt","Wrought Iron Fence",16015,"","X-07",52,"St. James Park","Parks","",10468,"POINT (-73.89686426459421 40.86475957907014)"
"X",207,14,"Park Perimeter","X001","","","Mitt Mutt","Unpaved Surface",15209,"X001-ZN01","X-07",52,"Aqueduct Walk","Parks","Aqueduct Walk Zone 1",10468,"POINT (-73.90017627749889 40.86778513592305)"
"B",318,46,"Near Entrance","B291","2018-03-03 05:00:00.0000000","Outside E 49 St MPPA entrance","Mitt Mutt","Unpaved Surface",3222,"","B-18",63,"Power Playground","","",11234,"POINT (-73.92769886933634 40.61808414349729)"
"Q",412,28,"Near Entrance","Q301","2018-02-06 05:00:00.0000000","110th Ave. mid-block","Mitt Mutt","Paved Surface",5650,"","Q-12",103,"Jamaica Playground","Parks","",11433,"POINT (-73.79034119379334 40.69289991420445)"
"X",203,17,"Park Perimeter","X166","","on ballfield fenceline","Mitt Mutt","Chain Link Fence",7616,"","X-03",42,"Behagen Playground","Parks","",10456,"POINT (-73.90193373698817 40.82530753672302)"
"Q",412,27,"Near Entrance","Q330","2018-02-06 05:00:00.0000000","192nd St. mid-block","Mitt Mutt","Paved Surface",6059,"","Q-12",113,"Locust Manor Playground","Parks","",11413,"POINT (-73.75584664296396 40.68614336250572)"
"X",204,16,"Park Interior","X168","","","Mitt Mutt","Unpaved Surface",13605,"","X-04",44,"Nelson Playground","Parks","",10452,"POINT (-73.9269764061833 40.83458474151532)"
"Q",414,31,"Near Entrance","Q367","2018-08-16 04:00:00.0000000","Rway Beach Blvd. left of BBCTs","Mitt Mutt","Paved Surface",11205,"","Q-14",100,"Hammel Playground","Parks","",11693,"POINT (-73.8092936848672 40.58798898864036)"
"B",307,39,"Park Interior","B255D","2018-05-02 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",5608,"","B-07",72,"Park","Parks","",11215,"POINT (-73.98870695880504 40.662881658824354)"
"R",503,51,"Park Perimeter","R089","","","Mitt Mutt","Paved Surface",19204,"","R-03",122,"Greencroft Playground","Parks","",10308,"POINT (-74.1373829019121 40.55163078518464)"
"Q",414,31,"Near Entrance","Q371","2018-03-19 04:00:00.0000000","Almeda Ave. and Be. 58th St.","Mitt Mutt","Unpaved Surface",11607,"","Q-14",101,"Rockaway Community Park","Parks","",11691,"POINT (-73.7882245443627 40.5975821523181)"
"Q",482,32,"Near Entrance","Q015","2018-03-30 04:00:00.0000000","Memorial Dr. near Buddy Monument","Mitt Mutt","Unpaved Surface",11613,"Q015-ZN02","Q-16",102,"Forest Park","Parks","Wallenberg Square To Memorial Dr",11385,"POINT (-73.84174211936487 40.701493987517644)"
